CodigoInternoPuntoDescarga,LatitudPuntoDescarga,LongitudPuntoDescarga
88784,45.3879,5.7342
100579570,41.7868,-1.989
100528920,38.3068,-0.6458
100565853,40.3836,-8.326
100534962,45.1461,0.5291
100563579,38.9041,-9.1914
92179,51.3881,11.9727
1432,38.6779,-9.197
91138NL,52.6825,4.8364
10411M,40.1635,-3.668
83872,45.6635,-0.9652
12779A,40.4519,-3.4988
89676,48.1296,7.355
100568509,40.3014,-3.4629
100564020,38.9836,-0.1835
100559459,39.2483,-9.1144
10411SPA,40.2668,-3.848
100574165,37.7707,-3.8971
100517323,41.4341,2.1966
12686ECC,39.7913,-6.3931
100565538,44.8617,2.2253
87540RAG,45.7681,8.8032
90383,52.7385,6.5186
89676GEO,49.6136,3.2345
12638,38.2433,-0.7074
100584738,41.5521,2.1805
100574442,37.8213,-1.3964
100516459,41.3334,2.0942
100553145,41.5503,2.0124
89471,38.779,-9.3473
100500565,41.3966,2.1823
10411BA,41.3314,2.1553
100544204,39.9012,-8.5124
24828505-RUTA1-20,41.3664,2.1646
91222,47.213,5.9753
91467,47.7107,10.3369
12410,39.5838,-0.351
87449F,49.4618,11.0166
100550991,41.3842,1.6615
100539924,41.2984,2.0101
C16205,41.1641,1.1711
C37205,41.6762,0.5012
92032A,45.6863,12.3253
11528,40.4806,-3.3888
85865_00OM,48.8477,4.4947
100572640,41.7692,-8.5947
82421,40.7065,-8.4956
100549831,41.4561,1.9787
12143,37.6967,-6.5962
1420,40.2738,-3.7551
89766,48.1839,2.2444
91358_00BR,50.7559,10.3194
03,41.404,1.0435
200103311,43.5545,-5.6997
100574976,38.87,1.37
88942,48.3838,2.9446
C28205,41.3505,1.7417
86145,45.5828,4.3123
83194PD4,45.6417,11.814
88094,45.6057,9.2273
92475ES,41.2123,1.2048
100585456,38.1813,-1.127
12515,41.009,0.9131
100570050,38.6766,-0.9342
100515798,39.5117,-0.4587
88902AZ,49.8659,2.3713
92378,54.2772,10.8854
83913F13,43.4631,5.4826
12873_00SA,41.7812,1.8909
89354,50.88,10.9278
91692SCH2,51.4617,0.3499
88665,41.2628,-8.4887
100550557,42.1308,-0.4132
100569811,39.6707,-8.8334
10411BU,42.6963,-2.9151
92344,41.7789,-2.4787
100575000,41.7099,1.8496
C110205,41.666,1.8561
100580270,38.7379,-0.8916
100525149,41.6022,0.8814
1214,40.6099,-7.7275
88902FR2,48.4287,-2.8195
12347E08,41.4793,1.9831
84751,47.9946,-4.3943
83876,45.2035,4.045
100516429,42.429,-2.2743
100515816,37.847,-0.8039
100551101,40.5005,-3.6825
100528135,37.7233,-1.167
10113,41.3141,1.6615
100518224,35.8934,-5.321
100582597,41.9517,2.2757
11476,37.1776,-3.6387
87054A,45.6935,4.9173
100527212,38.3807,-4.8817
100565672,39.622,-0.3283
100001000,38.678,-4.0738
100516264,40.9676,-5.642
91443,45.2533,4.2623
100515809,42.1692,-8.6101
83694KO,47.8263,12.6375
11480,39.4732,-0.4795
92040,50.7876,3.0954
91372_00PF,47.3722,8.7921
91899,45.2505,4.3577
89676AH,49.0758,3.9655
1001,42.001,-4.5502
100552447,37.4558,-6.2262
87507BAT,40.6094,14.9808
92037F47,44.2249,0.668
91826,45.6206,9.6262
100584904,38.8493,-9.3726
100540385,40.517,-8.4982
1200,38.8261,-0.5545
100578636,37.1462,-7.841
12770,43.0242,-3.0096
82428,51.0872,4.2609
90083C,47.1037,-1.5941
10411HT,36.7726,-6.353
90152B02,51.2434,4.3327
12510B,41.2049,1.1449
80752F01,45.2758,4.1917
100565215,42.564,-1.3996
20047,37.346,-5.8268
100541078,44.899,-0.5251
91692SCH,53.4302,-2.3974
11401,38.0347,-1.1893
20047,37.3406,-5.8241
24833017-RUTA1-20,41.3664,2.1646
100547150,41.187,1.4604
89440,45.7335,8.7393
86178_02GO,51.9298,10.4146
90479,45.4569,9.3824
100516114,39.5941,-0.3954
88902F91,48.6214,2.3869
91149F8,43.9012,1.8736
100526278,38.0351,-1.1867
100553870,37.4798,-4.4419
100538545,41.4812,2.025
10411FER,40.2685,-3.8109
80752F01,45.2761,4.1921
70009E,42.0046,-4.5429
90179A,44.8588,11.5959
30055,38.5074,-1.6885
88724,37.4618,-3.8846
91693PD,45.2536,11.78
100554594,39.0122,-8.7698
100548197,43.2538,-2.3884
100539547,42.9054,-8.9546
100544389,38.449,-6.384
100542112,42.9113,-8.0248
85865F66,42.8304,2.9153
100001407,36.1813,-5.4357
100533055,43.559,-5.9215
100546312,37.8461,-1.4262
90383BEL,51.098,3.6877
100571382,37.1399,-7.8553
24833929-RUTA1-20,41.3664,2.1646
100566062,39.7888,-6.3725
91927,45.5631,8.1551
89390H,49.4807,11.8771
90262,45.4829,4.5152
11487SPB3,39.4929,-0.6838
82563A,41.1585,-8.4575
100515930,41.5408,2.0347
100551401,43.4039,-2.9597
100581469,43.2856,-5.6409
100563740,38.6934,-8.9455
88976A,45.3795,9.221
100549412,49.5015,2.9347
12686ECC,39.7946,-6.3855
100579285,43.2121,-2.8713
100001005,43.1239,-7.6322
