CodigoInternoPuntoCarga,LatitudPuntoCarga,LongitudPuntoCarga
100540030,39.4675,-0.5045
100582162,40.7971,-4.2519
100565353,42.0641,-1.6022
100573715,40.1081,-0.0089
100548100,41.5498,2.2409
1403,43.5705,-5.9283
24842609-RUTA2-20,49.5384,8.4106
24842036-RUTA2-20,45.6368,8.8342
100516114,39.5941,-0.3954
100519536,42.4654,-8.738
100548972,40.102,-3.6594
100532632,39.4449,-2.0404
100516616,39.501,-0.342
1822,51.3387,6.6787
100566113,39.9141,-7.4611
100518552,41.2268,-0.0305
100518968,43.4234,-5.8102
100573413,38.9149,-1.8011
200102111,37.2592,-6.9605
100585796,46.8062,-0.1471
100001418,40.5283,-3.392
100516943,38.0354,-1.1829
100537482,41.6572,1.0838
100585807,40.6835,-3.7944
100582445,38.3261,-0.7748
100566500,37.3398,-6.1381
24843243-RUTA2-20,45.6368,8.8342
100527177,38.9715,-5.8639
100530969,43.4769,-7.3
1420,40.2738,-3.7551
100565668,41.6683,2.2263
100568559,41.6061,-3.3759
100572413,39.8233,-0.2323
100585846,42.2315,-5.6576
100536198,42.0694,2.797
24822956-RUTA2-20,45.6368,8.8342
100518961,43.3832,-5.7108
100526398,41.1687,1.1261
100574500,40.3929,-3.411
100564443,42.8921,-7.2544
100578988,38.0113,-3.3716
1802,37.5727,-0.9235
24844661-RUTA2-20,45.6368,8.8342
24845781-RUTA2-20,45.6368,8.8342
200105341,35.8869,-5.3338
24845497-RUTA2-20,45.6368,8.8342
100500457,41.5231,2.1454
1800,40.4546,-3.6944
100584690,40.6154,-4.6358
100519043,42.567,-6.6079
100573385,43.5719,-5.9286
336653,41.8307,-0.7705
100533055,43.559,-5.9215
100579538,42.4149,-8.6158
100535891,40.5109,-3.4086
100583550,40.1112,-3.6554
100585968,36.7791,-3.0012
100550080,40.5858,0.4521
100575090,39.9579,-0.0014
100579870,40.4,-3.5809
100518087,38.1902,-1.1041
100533674,38.7119,-0.9542
24845385-RUTA2-20,45.6368,8.8342
24845783-RUTA2-20,45.6368,8.8342
24847863-RUTA2-20,45.6368,8.8342
24847862-RUTA2-20,45.6368,8.8342
24847864-RUTA2-20,45.6368,8.8342
24847321-RUTA2-20,45.6368,8.8342
24848039-RUTA2-20,45.6368,8.8342
24847893-RUTA2-20,45.6368,8.8342
24848081-RUTA2-20,45.6368,8.8342
24847473-RUTA2-20,45.6368,8.8342
24848080-RUTA2-20,45.6368,8.8342
82965P20,39.1645,-8.9192
100585908,40.3305,-5.408
200103331,43.5758,-5.9397
100585960,41.8832,-8.8582
100566624,37.4727,-5.9262
100537482,42.3769,1.7151
100585985,40.7221,-0.9926
100585995,37.1733,-4.8567
100544217,40.9515,-7.8876
100583662,43.3128,-8.282
100575405,40.5603,-3.2618
100585945,39.9727,-5.6028
100583606,39.9441,-3.1687
100500612,43.1842,-2.5237
24847865-RUTA2-20,45.6368,8.8342
24848253-RUTA2-20,45.6368,8.8342
100518535,42.1925,0.3373
C2001950,40.3249,-3.8643
24847626-RUTA2-20,45.6368,8.8342
24846822-RUTA2-20,45.6368,8.8342
24846814-RUTA2-20,45.6368,8.8342
24848252-RUTA2-20,45.6368,8.8342
24847174-RUTA2-20,45.6368,8.8342
24850091-RUTA2-20,45.6368,8.8342
24849500-RUTA2-20,45.6368,8.8342
24849502-RUTA2-20,45.6368,8.8342
100537330,41.5077,1.9016
24849501-RUTA2-20,45.6368,8.8342
100574466,43.5459,-6.7216
100575000,41.7115,1.8449
100522726,42.2948,-7.8728
100549337,37.3582,-2.338
100586003,40.8818,-0.9431
100530298,45.1921,0.6875
100519044,42.4589,-6.0635
24852386-RUTA2-20,49.5384,8.4106
100001429,37.6248,-0.9592
100515816,37.847,-0.8039
100565147,40.5907,-3.547
100568523,43.5624,-7.6421
100577068,39.8773,-3.7296
100573077,38.8902,-4.0473
10411MR,41.4182,2.042
100583820,42.5749,-7.9128
100515920,38.0328,-1.1885
88298RE,44.8824,10.546
100544566,41.1731,-8.5117
100500087,41.4775,1.8769
100548721,39.6839,2.8463
100549082,42.3408,-7.8261
128,37.7001,-3.9729
24848047-RUTA2-20,45.6368,8.8342
24849044-RUTA2-20,45.6368,8.8342
24847808-RUTA2-20,45.6368,8.8342
24849859-RUTA2-20,45.6368,8.8342
24836858-RUTA2-20,49.5384,8.4106
24848482-RUTA2-20,45.6368,8.8342
24849081-RUTA2-20,45.6368,8.8342
24849798-RUTA2-20,45.6368,8.8342
24848777-RUTA2-20,45.6368,8.8342
24850095-RUTA2-20,45.6368,8.8342
100520119,40.3751,-3.4707
24849625-RUTA2-20,45.6368,8.8342
24849888-RUTA2-20,45.6368,8.8342
24850665-RUTA2-20,48.2262,16.3823
24849900-RUTA2-20,45.6368,8.8342
100532894,42.8312,-1.7852
100534201,38.32,-0.5165
200104111,37.3608,-5.9939
100575800,43.4386,-3.8958
24840764-RUTA2-20,45.6368,8.8342
24840776-RUTA2-20,45.6368,8.8342
24851353-RUTA2-20,45.6368,8.8342
24851980-RUTA2-20,45.6368,8.8342
24850535-RUTA2-20,45.6368,8.8342
100537482,41.653,1.0896
100544702,37.898,-4.7111
28,41.3548,1.7298
100578857,39.6851,-8.6311
12776,41.635,-1.0217
100585870,47.3224,-2.1608
100575703,40.6246,-4.0203
100534413,42.5445,-8.9863
24853040-RUTA2-20,45.6368,8.8342
24852069-RUTA2-20,45.6368,8.8342
1422,38.4983,-8.827
100586077,37.2693,-6.816
100585158,41.7384,0.5596
100516459,41.3334,2.0942
100545514,37.9211,-8.7858
24852678-RUTA2-20,45.6368,8.8342
24853933-RUTA2-20,45.6368,8.8342
100580241,42.3974,-8.7913
100583026,39.366,-3.4953
100563809,39.9132,-8.4402
100585813,40.595,-8.416
100573051,39.4751,-0.6532
100515900,39.012,-1.8828
100570126,42.4123,-8.6724
100567369,41.6389,2.409
100551332,42.7506,2.808
100516106,41.9419,2.2535
100581997,38.8358,-0.4975
24852070-RUTA2-20,45.6368,8.8342
24854210-RUTA2-20,45.6368,8.8342
24853755-RUTA2-20,45.6368,8.8342
24854228-RUTA2-20,45.6368,8.8342
24855122-RUTA2-20,45.6368,8.8342
24855596-RUTA2-20,45.6368,8.8342
24855644-RUTA2-20,45.6368,8.8342
100575268,40.0459,-3.6891
100531315,42.8393,-2.7369
100532829,41.6015,-4.7192
100001200,38.8255,-0.5548
24855548-RUTA2-20,48.1443,11.7037
100585815,37.2453,-1.9173
100518745,43.4061,-3.4454
100522097,38.8717,-0.0297
100582234,41.7543,-2.5452
100500100,41.119,1.1935
100583817,42.9067,-7.9897
100571864,42.1601,-8.6221
24855339-RUTA2-20,45.6368,8.8342
24856275-RUTA2-20,45.6368,8.8342
24854988-RUTA2-20,45.6368,8.8342
24856276-RUTA2-20,45.6368,8.8342
24857641-RUTA2-20,45.6368,8.8342
24857174-RUTA2-20,45.6368,8.8342
24857175-RUTA2-20,41.3664,2.1646
100540904,39.8053,-8.0989
100585689,39.0148,-0.5789
100541185,41.3492,-7.6854
100550080,40.585,0.4518
200102111,37.2391,-6.9263
100545411,37.575,-7.9781
24857644-RUTA2-20,45.6368,8.8342
24857328-RUTA2-20,45.6368,8.8342
100554532,40.0263,-3.9251
100565668,41.6682,2.223
24858980-RUTA2-20,49.5384,8.4106
24856085-RUTA2-20,45.6368,8.8342
24857317-RUTA2-20,48.1443,11.7037
24858037-RUTA2-20,45.6368,8.8342
24855991-RUTA2-20,45.6368,8.8342
100526235,40.4427,-3.4873
100539610,40.7675,-3.1432
100527241,42.9134,-8.5166
100564650,37.6497,-3.459
100573900,42.3164,-7.957
24859437-RUTA2-20,45.6368,8.8342
100586226,39.2108,-3.8333
100554150,38.8211,0.0042
1328706,51.3388,6.6781
24858471-RUTA2-20,45.6368,8.8342
12328A,41.7844,1.8937
1403,43.569,-5.928
100586157,37.7706,-1.2181
100550789,42.2274,2.9799
100586307,41.6401,-7.2117
100000007,43.3504,-8.4522
12720,42.6857,-2.9404
100581473,38.7358,-2.4681
100521895,37.7228,-3.9663
100578257,39.3296,-3.0832
1200,38.8255,-0.5548
100537971,41.3485,2.0964
100586075,42.1529,-8.6319
24858071-RUTA2-20,45.6368,8.8342
24859451-RUTA2-20,45.6368,8.8342
24859419-RUTA2-20,45.6368,8.8342
24858142-RUTA2-20,45.6368,8.8342
24859101-RUTA2-20,45.6368,8.8342
24861882-RUTA2-20,45.6368,8.8342
100582616,37.3973,-5.9715
100533237,43.2437,-2.8951
100573491,41.0335,-0.8129
24858499-RUTA2-20,45.6368,8.8342
24859171-RUTA2-20,45.6368,8.8342
24861845-RUTA2-20,45.6368,8.8342
24859123-RUTA2-20,45.6368,8.8342
100525408,43.5628,-8.015
100515798,39.5117,-0.4587
100516615,41.5506,2.2275
100550435,39.7546,-8.9322
100518537,41.0487,-0.1318
1000,38.692,-4.1093
100585957,40.0498,-8.8148
10218,40.8126,0.5214
100572047,41.4971,2.0349
100554749,39.9107,-4.6788
100544204,39.9012,-8.5124
12774E15,41.0801,1.1577
110,41.6614,1.8601
100001430,39.0582,-8.8941
11322A,41.1215,1.1809
100528801,40.3361,-3.4677
100563327,40.1353,-3.6552
100574253,43.4151,-3.8449
100586257,39.7013,-0.7428
1420,40.2498,-3.7203
100583540,42.4404,-2.3053
100518787,41.4679,2.245
100586170,40.3016,-3.506
100522142,42.8693,-8.3043
100550234,43.0465,-7.5592
100572640,41.7692,-8.5947
100000005,38.6768,-4.0611
24866274-RUTA2-20,49.5384,8.4106
100586460,38.1387,-2.3877
24863437-RUTA2-20,45.6368,8.8342
24863762-RUTA2-20,45.6368,8.8342
24863941-RUTA2-20,45.6368,8.8342
24863761-RUTA2-20,45.6368,8.8342
24863459-RUTA2-20,45.6368,8.8342
24865249-RUTA2-20,49.5384,8.4106
24865355-RUTA2-20,45.6368,8.8342
24861887-RUTA2-20,49.5384,8.4106
100560282,40.34,-3.7055
100548842,40.9847,-2.5952
24865225-RUTA2-20,45.6368,8.8342
24866717-RUTA2-20,45.6368,8.8342
100571484,42.7151,-7.7641
100547157,41.4658,1.9586
100547188,41.258,1.1619
100547122,43.883,10.9166
24866228-RUTA2-20,45.6368,8.8342
100571916,41.3189,-7.1575
100574514,41.4671,2.1911
200105356,0.0,0.0
100586442,41.5175,2.2001
100542112,42.9113,-8.0248
100579690,41.1922,-8.5903
100586147,45.8529,4.8339
100517316,41.1078,1.2057
100516204,43.4842,-6.19
100516893,38.8382,-0.5255
100570258,41.1855,-8.2917
100586508,42.9904,-8.8847
100575257,38.0168,-8.6891
100570550,41.2067,-8.6129
100584910,53.3026,14.9776
100568103,43.3173,-8.3403
100586241,39.3504,-0.6333
92475ES,41.2122,1.2047
100586507,38.1194,-3.0973
100577998,38.3473,-0.769
100580188,38.293,-0.5884
100565062,40.3298,-3.37
100562982,43.6299,1.424
1218,38.9802,-0.5485
100547150,41.187,1.4604
336653,41.8302,-0.7652
100563846,46.032,13.2406
24866939-RUTA2-20,48.2262,16.3823
100583143,36.6398,-4.5633
24866617-RUTA2-20,45.6368,8.8342
100515916,38.0679,-1.2013
100570360,44.7575,7.3825
100572941,43.3839,-5.7007
24824992-RUTA2-20,45.6368,8.8342
24870278-RUTA2-20,45.6368,8.8342
24870483-RUTA2-20,45.6368,8.8342
24868131-RUTA2-20,45.6368,8.8342
100547379,43.2214,0.0464
100546486,38.6681,-27.0897
100555650,42.5685,-2.1917
100518533,42.1398,-0.4102
100584396,38.2656,-0.6656
100586255,36.7894,-2.7579
100551015,41.6361,2.3441
100519116,39.8646,-3.8961
100549135,39.5029,-2.8731
24871691-RUTA2-20,45.6368,8.8342
24871982-RUTA2-20,45.6368,8.8342
24870897-RUTA2-20,45.6368,8.8342
24871983-RUTA2-20,45.6368,8.8342
100525980,38.9005,-7.0164
100575857,41.3363,-4.4317
100586540,38.5522,-0.2612
1436,38.6566,-27.2659
100563965,46.1621,9.7571
49216,43.275,-1.7121
24870907-RUTA2-20,45.6368,8.8342
100544565,41.1321,-8.2797
30055,38.5074,-1.6885
100586596,38.8152,-0.4741
100569118,37.5733,-0.9119
24874915-RUTA2-20,49.5384,8.4106
100537304,40.931,-4.0597
24871614-RUTA2-20,45.6368,8.8342
24872430-RUTA2-20,45.6368,8.8342
100518805,41.1761,1.2318
24872910-RUTA2-20,45.6368,8.8342
24870376-RUTA2-20,45.6368,8.8342
24871619-RUTA2-20,45.6368,8.8342
24872297-RUTA2-20,45.6368,8.8342
24873456-RUTA2-20,45.6368,8.8342
24873572-RUTA2-20,45.6368,8.8342
24874283-RUTA2-20,45.6368,8.8342
100516969,37.2159,-3.6953
100532668,38.663,-4.1277
11524,38.8973,-0.4972
100586137,37.691,-1.0707
100548876,41.659,-0.9235
